HYBAS_ID,TDq0,TDq1,TDq2,Obs_TDq0,Obs_TDq1,Obs_TDq2,FDq0,FDq1,FDq2,Obs_FDq0,Obs_FDq1,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff,coverage_rate,Num,year_count,year_range,Time span,convex_hull_area,Bio4,Elev,Year,eff,Pop_d,Pop_c,Longitude,Latitude
7040014210,68.64339572,49.96800254,36.08729917,57,42.53794586,32.43859649,9.035515308,6.827975402,5.646091337,10.98400048,8.626612275,7.088335669,4.207,1536,11,808.724,541,10.83737348,12.32737272,6.718781315,1881.916416,78.28288065,1687,340,98,1,2149.2,129663.3767,949,5.403499626,0.09851437,13028.10348,0.55711984,28,17,20,21,1197.229061,420.2596857,629.5511124,1.647058824,233.873374,13.637,27.612,-123.931476,41.81478176
2040065840,33.64733894,14.8447029,8.898793263,16,10.46885472,7.80565371,4.528948056,2.77062969,2.466790726,3.904420563,3.019299171,2.656173471,0.623,59,29,221.06,332,16.18011573,12.19080576,8.03780881,306.674088,53.53225812,2915,248,35,39,3147.6,25882.95674,774,5.966883165,0.140774205,3494.726141,0.432151477,11,8,61,62,1359.846332,891.1138792,799.8320788,1.375,80.89149297,170.223,525.798,54.01650461,36.77058403
6040025140,42.88292559,28.84599831,23.16633355,40,27.85150286,22.56375839,5.093174902,2.601129077,2.01045023,7.341327161,4.761968881,3.87867832,0.457,2691,22,4510.058,628,6.585650548,7.299406174,2.317237903,1846.774846,34.25201148,2255,622,75,0,13028,133.6428798,815,8.984319159,0.089221112,1611.912803,0.117076057,21,1,0,1,1525.658592,380.1269203,691.9298059,21,137.645474,0.418,5.129,-72.59314833,-44.6627081
1040040050,18.43281089,11.29264646,9.014224634,13,9.772453332,8.229314421,3.122565144,2.569764469,2.288735386,3.400869844,2.896421876,2.605631098,18.78,1227,0,297.747,333,23.61450191,8.276995108,24.83322476,2006.917752,60.95045229,2320,989,67,4,2263,1623444.793,579,11.35872394,0.349828941,6186.478126,0.709566711,14,11,18,19,1605.231919,127.7862237,428.0818404,1.272727273,87.21481198,455.368,907.418,43.98626547,-12.09038618
1040012690,25.2935038,13.97433349,9.86963202,26,14.19885132,9.963121501,3.306789085,2.745803257,2.57041791,4.854302711,3.452261863,2.959928693,0.014,157,4,1832.431,287,21.76134888,12.82477561,24.74129208,750.0560168,72.83899809,1658,61,91,7,10344.3,1305700.337,460,11.84671342,0.333358274,2030.103535,0.15728111,21,9,14,15,1627.728898,265.0739002,232.9492185,2.333333333,129.014113,255.184,2532.96,32.12870132,-26.11550325
4040839030,34.58671159,24.89170296,17.38971683,24,18.47023775,14.44,3.16321528,2.789572831,2.626515278,4.308574869,3.689753354,3.249929275,3422.937,2731,8,31566.898,810,8.55912751,9.909273131,14.78431981,1460.804051,83.35800812,6119,1005,43,3,41500,18819.98142,617,4.150851291,0.133028416,240.9638554,0.039434778,10,8,15,16,1636.407098,554.2169544,2796.89537,1.25,61.10948805,12.498,515.599,96.45800892,28.4661101
7040047860,18.44738252,12.09582682,9.32348725,19,12.19813171,9.382674704,2.324660301,2.049212132,1.941398758,3.572511579,2.76028994,2.429262005,1.082,595,78,261.058,4,20.23931267,9.665315286,27.234503,1316.829555,21.91573162,24,4,22,46,1815,18405.09802,908,14.25058306,0.27519552,34159.77961,0.97566551,62,22,36,37,1770.167054,644.3723942,5.351787271,2.818181818,350.2494291,4.176,6.827,-94.46655493,29.68888615
1040040340,9.949402841,8.292020881,7.32016024,10,8.337729917,7.368271955,2.303900843,2.097817631,2.000408999,2.782202973,2.503451617,2.355225045,0,33,7,6512.461,529,19.40582448,14.84560568,27.53686696,545.5403932,140.4046617,1067,58,0,1,114355,248116.1327,743,0.948091931,0.189089012,131.1704779,0.016543708,15,2,3,4,1890.843899,265.5357897,411.2127349,7.5,79.32965809,29.333,3353.936,5.903310919,34.17524514
4040015010,65.75766394,52.39328456,37.49459338,53,41.64962674,31.95296524,4.445232027,3.290881352,2.892724072,7.737906028,6.257199732,5.184346983,6.824,944,85,2778.109,122,23.55045608,6.163690443,28.10760509,1726.922459,87.09742949,1048,32,1,55,7175.9,6133852.663,683,19.69899993,0.64075654,1950.974791,0.308371673,14,5,6,7,2212.683213,463.5203932,56.51324428,2.8,63.27159676,1048.173,7407.439,105.8362586,20.49870218
6040285930,87.04477797,65.76942546,53.94169542,71,56.04254947,47.54397099,8.45022402,5.394376656,4.193273186,11.74540374,8.932743841,7.54300551,127117.906,1138,44,37336.934,53,26.73208015,8.069940263,26.3065013,2315.782908,44.02749516,147,25,74,1,6217.2,362338.1964,701,1.137905509,0.124553748,3216.882198,0.377117674,20,11,19,20,2336.192857,51.44718097,53.36554101,1.818181818,85.60937056,30.406,171.793,-59.5421392,-2.971531041
4040046100,41.63261338,19.10678527,10.9503582,13,10.10976656,8.191011236,4.227657749,2.921637271,2.473725367,3.52642351,2.947600537,2.627015082,5.879,1431,0,478.746,273,22.12655701,4.608963161,23.96016491,2283.455368,27.4234224,719,162,47,18,4339.1,9159357.8,883,21.80652281,0.436408132,2535.087921,0.558083318,11,6,9,10,2422.561644,460.8090898,108.8543158,1.833333333,45.40648131,391.794,1497.411,127.5881169,26.68480671
7040014050,75.33614648,49.46585448,31.49863943,64,43.21843782,29.32180851,9.460724756,6.665503508,5.286288336,11.84225991,8.653802694,6.657299804,1,1102,19,988.635,407,10.98651261,12.51741879,7.322898049,1458.936124,80.0314433,1737,283,94,1,3013.8,274147.6484,951,2.931657014,0.132539487,13604.08786,0.883015241,41,18,21,22,2661.176135,389.2223628,552.2624809,2.277777778,154.0672166,32.899,95.513,-123.8585569,40.81488287
7040043100,61.00997718,49.69572245,34.02101814,30,25.62904243,21.44660194,6.063663777,2.843704172,2.297109676,5.631274397,4.44636551,3.836806791,0.009,467,38,1261.453,19,17.37193699,13.14645735,25.94669675,1235.66979,24.32883767,136,11,38,21,5872.2,423711.503,865,16.51982278,0.351913977,2213.821055,0.483092381,13,10,19,20,2836.471825,712.8863165,32.42316584,1.3,45.83158516,33.646,195.656,-79.89869919,33.73075029
7040374800,58.65350114,27.96621189,17.63982249,66,29.03588133,17.93967727,9.566621895,6.754365543,5.645573052,12.7024509,7.683489388,6.000346245,663.812,517,22,18969.172,101,1.257964314,11.70499002,14.48458624,988.8380873,27.89914741,818,51,83,0,41991.1,58588.51148,916,14.58428544,0.023010448,2381.457023,0.075010022,100,25,60,61,3149.560525,1217.461433,429.3867915,4,317.5046144,3.433,136.505,-73.71113547,47.8004878
7040064730,27.55883994,15.31698087,11.58170237,30,15.65132007,11.73480002,4.554711005,2.510183159,2.16640767,6.213746564,3.46497075,2.879359399,2.126,762,75,475.77,76,11.33233457,9.034837905,9.014114196,1110.032662,10.90280114,106,26,53,4,4014.7,111266039.9,952,11.22042438,0.522796198,33875.50751,0.806732963,136,16,25,26,3240.844991,869.9700205,24.58446743,8.5,419.6436435,1958.595,7604.769,-73.13486576,40.82320474
2040059370,28.99049701,18.94296034,15.14862543,33,19.69907928,15.62408249,7.949670118,6.349454997,5.61152307,8.789653142,6.629696291,5.799392913,0.39,949,2,139.072,529,7.605055338,4.444729626,-12.45602776,445.369909,26.74238588,1602,857,23,5,1668.3,597.2766567,919,4.844558266,0.001363001,60540.67014,1.971518914,101,35,67,68,3289.349154,704.2140321,382.4780495,2.885714286,307.0516241,18.378,23.045,-1.261091995,60.37017266
6040007010,65.70337925,39.27346898,29.8995254,52,35.7680662,28.26404677,7.448322864,5.025577347,4.223322629,9.317586367,6.849782415,5.747588956,0.539,1296,39,56043.188,37,26.22337361,9.134032556,25.69151258,2423.201565,68.5583004,444,20,85,1,108834.7,17380.25973,672,6.734954764,0.164695436,303.2121189,0.083965721,33,2,1,2,3602.928868,50.74751656,51.59496911,16.5,91.59214963,7.394,673.006,-50.34170406,-2.156240987
1040029710,14.58370508,12.06572907,9.213703021,11,9.03100077,7.450704225,2.899725759,2.807286583,2.645168111,3.374885113,3.050979973,2.793729923,0.252,274,24,1381.399,309,17.89580049,10.04622198,12.04338115,764.9980053,82.08168137,1574,76,42,55,7415.2,2731770.523,647,15.92849633,0.495877667,1348.581292,0.495641438,10,10,17,18,3674.949575,506.8290877,186.8705357,1,27.21125772,258.318,1860.438,-5.847245287,35.12028523
5040076890,20.03763456,15.51824494,12.63813906,15,12.35833991,10.57232704,2.986943755,2.94779026,2.85109167,3.559308881,3.208936604,2.969388084,0.169,181,10,644.098,464,15.3301801,4.764583349,28.72708368,1109.166667,126.6374575,5,47,33,16,5390.7,71385.45982,958,7.846226429,0.089586418,3524.588643,0.688370526,19,12,64,65,3709.793989,136.5586631,2.875,1.583333333,51.21578194,6.939,34.227,118.0978543,-34.6627796
4040012290,56.66001969,23.19183336,12.24442744,71,24.22635198,12.40249882,4.396389816,2.868585496,2.506647939,9.919667853,4.455404812,3.152029586,0.349,946,53,4061.107,252,21.51420948,6.802675845,27.283077,1668.323704,68.07504052,1139,75,37,25,18089.8,55811096.42,787,20.73586942,0.61428301,23659.74195,0.217302421,428,16,17,18,3930.727484,535.0795764,125.8770993,26.75,1088.856965,1937.207,32920.43,115.5030801,23.08582452
4040012770,48.58742515,29.64267248,19.43949471,37,24.72646286,17.74666667,3.927689759,3.300482534,3.050839721,6.207709597,4.680129062,3.897217084,1041.541,1002,28,14995.765,311,20.56598195,7.837272566,24.81744306,1792.330975,65.60421511,1320,103,57,14,33311.3,12158274.16,767,14.55230845,0.456644201,660.4365486,0.118958719,22,6,5,6,3963.432641,590.5327436,253.2012926,3.666666667,55.50744012,522.948,17128.266,114.6818792,23.78893111
6040025130,41.38942759,29.82220462,25.29232652,43,30.31744089,25.70197387,4.842388897,2.57447541,2.02402833,7.663089748,5.003957824,4.191854773,496.47,1331,7,4474.621,601,5.630202166,8.302033883,0.926697825,1139.855087,37.49054578,2038,428,65,0,12294.2,16156.31966,816,4.893038077,0.045264082,2277.496706,0.332484236,28,1,0,1,4033.051924,412.0753397,850.8185778,28,69.42633154,4.985,60.523,-72.13302674,-45.50977084
7040073660,21.93941099,18.73430514,16.54228339,22,18.80418057,16.61980831,2.985315702,2.586940282,2.332961568,4.331333053,3.794848319,3.442548335,10.494,17,5,4565.848,551,15.67238726,17.68537087,23.13136935,334.2066856,91.0091963,1864,81,13,7,102069.5,32209.85989,779,3.951873725,0.060121996,195.9449199,0.039952453,20,9,32,33,4079.576428,693.0256627,1567.198503,2.222222222,49.02469742,4.484,461.061,-107.1742891,30.53179375
