,HYBAS_ID,Nat_dis,LSR,IE_lmx,IE_amn,IE_amx,Riv_a,Riv_v,GTD,Act_eva,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Elev_range,Elev,Str_gra,Ter_slo,For_ext,Cro_ext,Area,Pas_ext,PAE,GDP,HDI,HFP,HMG,Sam_eff,Pop_d,Pop_c
34,1040036870,2.359,1069,16,6,13,92108.914,1084938.875,267,1086,22.38632604,10.82494819,65.36363575,224.6724608,30.1136532,13.56067225,16.55298094,24.63891677,20.14122633,24.71748519,19.38957388,1708.89176,337.0621576,35.38157649,84.01426185,907.8706556,131.6594737,833.4718045,166.9647925,2774,513.0207593,134,71,38,8,258716,22,4,50734.1703,512,7.546266574,0.221836172,684.1478687,42.049,10683.677
35,1040040050,18.78,1227,0,0,0,297.747,546.437,333,1140,23.61450191,8.276995108,69.93881619,127.7862237,28.85004073,17.01563518,11.83440556,24.83322476,22.38354368,24.86219463,21.84721091,2006.917752,353.7654723,42.50488599,60.95045229,879.3961726,186.478013,792.9295603,225.6294788,2320,428.0818404,989,103,67,4,2263,50,5,1623444.793,579,11.35872394,0.349828941,6186.478126,455.368,907.418
36,1040040200,150.88,15,11,4,7,6325.536,71016.391,103,368,22.32039163,16.56136605,58.08094769,387.7946815,35.75665412,7.244550619,28.51210347,26.34620805,18.01853016,27.09439549,17.99672893,383.2432124,98.49403844,0,103.4216008,240.1886909,1.259031832,146.5964038,2.196841613,357,999.1258536,15,1,28,3,85787.3,58,28,13802.94345,645,3.218674978,0.116045311,139.8808448,5.013,422.929
37,1040040240,135.536,15,13,3,4,9150.69,53784.969,103,440,22.28775093,15.17361923,47.01229941,659.3199863,38.49253889,6.223828931,32.26870995,21.41414853,24.95337732,30.48468024,14.57212296,3.381419622,1.466295749,2.88E-05,38.31828964,2.408354269,0.019678035,1.08392008,0.915303581,1802,525.8044129,14,4,2,2,174238.9,33,23,16367.56769,606,3.078808849,0.197077732,223.8306142,8.611,1506.824
38,1040040320,285.762,102,13,7,9,22644.557,268697.438,420,507,23.66058514,14.98866618,38.59913463,875.3670637,42.93870378,4.107880943,38.83082289,14.13081232,33.49417775,34.03575542,12.48146249,31.00325474,5.493422064,0.06676836,49.10583674,13.52718759,1.504368063,1.504368063,11.98836673,981,317.1932508,124,43,0,17,119969.9,26,32,533888.7094,448,1.198921675,0.316260135,125.031362,107.697,12939.026
39,1040040340,0,33,7,1,3,6512.461,31069.031,529,139,19.40582448,14.84560568,59.11367188,265.5357897,40.66884816,15.54914846,25.11969971,27.53686696,26.49656077,32.28332248,25.88493713,545.5403932,186.283303,0,140.4046617,424.0412288,0.071744231,64.18947417,15.36449703,1067,411.2127349,58,21,0,1,114355,14,0,248116.1327,743,0.948091931,0.189089012,131.1704779,29.333,3353.936
40,1040040520,66.345,44,2,1,1,4325.081,30285.213,532,91,19.66605658,14.18544261,40.95874701,765.221826,38.64271643,3.933387396,34.70932904,12.98408679,30.18113938,30.18449117,11.39583835,61.26518596,11.66633704,0.011237675,59.15391114,27.22222958,1.435919185,1.70568959,23.93361662,725,393.054554,82,44,0,0,52431,28,36,16657.59515,677,0.656438942,0.095111573,514.9625222,13.543,707.692
41,1040041020,32.843,101,12,5,8,6097.122,26872.682,352,597,20.30181271,16.00627527,47.59276843,671.3242956,40.8648774,7.236958582,33.62791881,32.22316029,17.93008589,32.38910608,16.40902657,37.13850798,11.42595728,0.016652402,81.89001643,23.87158114,0.268466491,23.10247274,0.360650095,2764,597.3074182,153,42,9,7,54919.2,43,27,30212.70585,539,2.196025682,0.234863829,236.7113869,32.116,1753.958
42,1040601190,1300.549,37,14,4,8,40787.328,1283413.75,69,431,27.93963123,14.67126015,63.47842362,232.0975199,39.75409105,16.48311939,23.27097166,27.37378815,26.21216835,30.86372523,25.05318593,504.1801759,134.1025983,0.025493527,128.1733149,340.7004511,0.383902144,53.74966862,147.4736861,1642,482.3070934,19,5,1,15,260944,64,2,162713.9561,471,8.822972796,0.366351552,53.65135815,39.756,10216.751
43,1040601200,1554.698,222,14,5,9,113345.633,3653870.75,310,757,22.75732557,14.78004471,69.09614848,174.1005846,33.80120521,12.22373642,21.57746879,21.83952937,21.94173114,25.10095928,20.83312846,1017.90223,251.5284525,4.769491183,113.8106728,640.164397,18.59204094,129.4336509,456.4093476,3791,1305.346867,143,53,3,14,308196.7,25,4,229802.2701,463,9.80101115,0.47345457,103.8297944,91.566,28160.236
44,1040837890,1537.884,163,25,17,21,115848.961,2852597,188,967,22.4701972,11.28230918,79.15962963,78.2457014,30.02262035,15.62895925,14.3936611,22.09614191,22.61800836,23.46236751,21.54356566,1151.980921,178.8884152,23.25703671,55.7026153,458.6255542,97.22933993,218.9844919,286.3107558,4399,1167.257009,57,28,19,23,552624.9,27,15,192508.9874,491,10.104188,0.41143976,559.1496149,141.48,76341.508
45,1040873640,404.298,179,2,1,1,13060.896,242682.297,201,938,27.17562982,10.66739758,64.11524127,163.1856457,36.27551731,19.59601346,16.67950385,25.7470812,27.65727733,29.4230155,25.29823909,1045.508117,189.664443,2.716632477,76.91913435,487.6210083,23.28732494,169.5674942,477.492917,590,257.6737793,32,14,57,21,52495,52,13,23732.12311,526,8.34360925,0.27332898,400.0380989,31.832,1674.653
46,1040909890,2922.666,303,9,3,6,70926.797,2020560.375,147,906,26.38795961,11.56398938,60.24053816,185.4113356,36.14681406,16.89950705,19.24730701,24.71197194,25.79656705,29.09727048,24.61046639,1134.436353,253.9876784,1.099172846,99.04284243,662.286144,7.101892443,139.9661787,506.3185808,1446,370.1505746,39,17,22,33,187501.7,30,14,517179.6832,526,11.78370214,0.49148188,181.3316893,102.368,19143.824
47,1041156960,18379.127,558,5,1,2,413726.875,14765216,127,1414,24.05226774,10.09241944,84.18562978,47.318105,30.23389012,18.18792066,12.04596945,23.79450182,23.95282537,24.63733547,23.50601207,1731.067833,218.0462753,59.74338298,37.12710359,596.1641676,225.8815229,432.7667148,396.2382216,3013,602.6080842,43,28,87,1,973777.8,1,11,6307.175417,435,5.105272134,0.127544246,54.42720095,19.972,19353.883
48,1041174950,3341.031,346,13,1,2,95749.305,2334306.5,124,1303,24.32580459,10.17172138,80.29717291,67.9512453,31.02083925,18.29873011,12.72210914,23.94423261,24.17235997,25.21504942,23.55867785,1612.320212,241.0259333,35.17598821,49.74665063,626.7045062,149.5007563,411.08582,425.8202138,965,522.7160715,34,24,79,1,285042.7,1,15,5587.838638,523,3.429564346,0.133624205,56.13194093,6.238,1777.735
