,Assemblage,qTD
597,2040023020,21.26901823
576,2040024170,39.80750965
1080,2040024180,8.424557676
999,2040024230,28.50337531
588,2040026060,45.90472058
1062,2040026070,10.31745396
567,2040026550,36.60068442
618,2040026560,22.99735186
1068,2040026920,21.12198232
1167,2040026930,18.31400689
1077,2040027320,17.52033201
1074,2040027330,29.89195561
399,2040028310,19.84504121
396,2040028320,23.22998952
393,2040028660,18.50169457
387,2040028670,26.52816316
390,2040029940,35.15822194
381,2040029950,34.8659999
402,2040030060,25.76103199
375,2040030100,42.18314893
585,2040030110,45.06733892
630,2040031060,33.84156261
582,2040031070,42.27936179
993,2040031490,43.1946105
987,2040031500,43.06209325
990,2040033320,43.06323872
996,2040033330,44.42689643
639,2040033480,41.3829243
378,2040037990,33.41014132
405,2040039390,28.47630829
1032,2040039400,27.09049821
612,2040039590,12.22939601
384,2040041120,35.78897674
1128,2040041840,20.96015578
573,2040045150,22.1856225
432,2040046500,28.99978729
474,2040047500,33.42894816
1260,2040048590,6.688150513
1014,2040048790,24.30857032
1023,2040054200,21.27640175
1002,2040056770,20.16501864
1071,2040059370,15.14862543
1524,2040065840,8.898793263
1461,2040065960,13.34044883
1482,2040066030,11.38062214
1428,2040067740,24.9824258
1389,2040068680,22.42416772
1311,2040068720,16.82683746
1179,2040069150,20.64079772
1329,2040069160,13.64398464
1317,2040070050,15.40047115
1458,2040070060,13.49988733
1488,2040070510,12.54924802
636,2040070520,20.62123567
1455,2040071700,9.475525656
1497,2040072590,5.968405401
1512,2040072920,11.42053445
1506,2040072930,10.03081806
1443,2040073580,5.288323058
1275,2040075170,9.017590447
1467,2040077470,6.182289786
1344,2040077580,12.40639237
1473,2040079320,8.40149622
1521,2040081260,7.257852694
1449,2040084130,7.648803318
1410,2040085500,11.51116997
1332,2040085590,13.86669164
1476,2040085620,9.514305136
1518,2040085630,7.262847774
1452,2040085670,7.488088524
1491,2040085690,9.534743892
1527,2040085700,12.11612474
1437,2040085710,5.702453857
447,2040085720,12.21774221
1500,2040085730,9.765882431
1509,2040085930,13.76593034
1404,2040085960,16.72679559
1335,2040085990,9.368470837
1134,2040288980,14.62217209
1278,2040289120,8.164751276
1290,2040292580,8.187686479
1383,2040292690,16.84073576
1251,2040309560,7.384461328
1143,2040309610,10.83103863
1059,2040315940,23.13054089
1155,2040363700,11.72679305
1158,2040400100,20.59545557
1104,2040416390,21.17238372
1083,2040491970,6.925511439
564,2040539930,43.56780719
561,2040540100,29.959878
591,2040543090,26.42285535
609,2040543160,27.68967629
579,2040548500,25.92083137
438,2040555780,21.79103048
600,2040785900,16.88141637
1422,2040816320,19.80676867
1362,2040816870,11.82301378
1494,2040828790,12.38278412
