"","Assemblage","qTD"
"237","5040069590",18.9136095897489
"240","5040061670",18.2068921661121
"243","5040069960",17.0844811753903
"246","5040068450",19.8880059597715
"249","5040491510",10.4671280276817
"252","5040059450",18.499715229525
"255","5040068460",20.5755580430631
"258","5040064140",17.9405520169851
"261","5040070710",43.6710143480142
"264","5040591050",40.0520798873632
"267","5040491370",4.75862068965517
"270","5040069600",13.3007633587786
"273","5040055960",15.4547236659892
"276","5040056460",11.8388220456047
"279","5040064130",12.037037037037
"282","5040087630",6.72549019607843
"285","5040077640",6.07778660935951
"288","5040065600",9.87002652519894
"291","5040057330",9.63496503496503
"294","5040533380",8.06772908366534
"297","5040591010",6.11883589329022
"300","5040073410",6.778073089701
"303","5040057720",16.1628322537413
"306","5040056470",9.34447502949272
"309","5040076890",10.5723270440252
"312","5040059440",10.7142857142857
"315","5040057320",14.6970873786408
"318","5040073420",10.3663596703829
"321","5040056740",12.448275862069
"324","5040076530",5.37993596584845
"327","5040041880",15.9097744360902
"330","5040533450",6.32951289398281
"333","5040056750",13.7133182844244
"336","6040025420",22.3491686460808
"339","6040025130",25.7019738671115
"342","6040025140",22.5637583892617
"345","4041043580",44.8216306156406
"348","4040012990",26.0092592592593
"351","4040009890",35.3055774450574
"354","4040627620",18.7609473974112
"357","4040748300",39.1201328101419
"360","6040280410",61.170949056884
"363","6040032290",44.0671656490053
"366","4040007410",34.460209955977
"369","6040814820",36.7339068569813
"372","5040085040",24.3628330277644
"375","2040030100",44.0440825038239
"378","2040037990",34.8959918424974
"381","2040029950",35.516769955667
"384","2040041120",37.3541590142585
"387","2040028670",27.2970160026155
"390","2040029940",36.3172647257955
"393","2040028660",18.8524634676592
"396","2040028320",24.1317489575117
"399","2040028310",20.1823069367273
"402","2040030060",26.4527449740802
"405","2040039390",28.525772005772
"408","6040262220",42.8248366013072
"411","6040239720",47.7901701323251
"414","6040007010",28.2640467684313
"417","6040007960",34.2485758275597
"420","6040008320",48.8983410749834
"423","2040016230",36.9848256063464
"426","2040018360",21.429703800577
"429","2040000010",18.0895696505572
"432","2040046500",29.5237250443517
"435","6040026990",4.45217391304348
"438","2040555780",22.0078880836002
"441","2040012730",43.475963099214
"444","2040014550",27.2871863412616
"447","2040085720",12.3544845132188
"450","2040018850",46.2297053517739
"453","2040022150",20.1255297112753
"456","2040021030",31.9022559347238
"459","2040020320",42.0582673955623
"462","2040022160",22.180769860235
"465","2040023010",27.506080694328
"468","2040021040",43.2574009575962
"471","2040019160",40.6838088273939
"474","2040047500",34.8485403555742
"477","7040072800",15.0125968544195
"480","6040280400",61.5397529646975
"483","6040285930",47.543970988214
"486","6040013430",21.0850708924103
"489","6040013760",19.5438890025566
"492","6040016760",24.7549581313354
"495","6040285990",35.7773808057164
"498","6040012800",11.9531914893617
"501","6040752460",11.3580786026201
"504","6040013420",14.5454545454545
"507","6040040460",17.1668471615721
"510","6040262110",60.4891364902507
"513","6040345000",11.3777777777778
"516","6040014330",35.1681592039801
"519","6040013750",14.3355637336902
"522","6040527670",15.5052410901468
"525","6040814830",28.0820512820513
"528","6040016720",12.5800316957211
"531","6040084750",19.7945205479452
"534","6040005500",30.1273192578375
"537","6040000740",24.7852354413382
"540","7040049270",28.8739936539641
"543","7040585110",41.625354241451
"546","7040048420",27.5348262239608
"549","6040752470",29.5625243138102
"552","6040709820",19.6923076923077
"555","6040239820",17.8181818181818
"558","5040082270",18.1596622024044
"561","2040540100",30.8446261182889
"564","2040539930",45.2983535462866
"567","2040026550",38.0435949734602
"570","2040009230",37.2668407592914
"573","2040045150",23.1237847860848
"576","2040024170",41.2529687459151
"579","2040548500",26.6502484527189
"582","2040031070",44.4887951425364
"585","2040030110",47.7649628593842
"588","2040026060",47.5172126811067
"591","2040543090",26.2998451746086
"594","2040018840",37.1513310702162
"597","2040023020",21.6974769827996
"600","2040785900",17.0759086360009
"603","2040004290",13.8160046992906
"606","2040005120",17.4575945793337
"609","2040543160",28.4539640334342
"612","2040039590",12.1555174997324
"615","2040008500",18.3763763947722
"618","2040026560",22.8340993652878
"621","2040019150",26.6823591661182
"624","2040018460",15.4580152671756
"627","2040005690",14.5555409750016
"630","2040031060",35.3345113019155
"633","2040008490",20.194285930237
"636","2040070520",20.2333716538019
"639","2040033480",43.5371130033721
"642","7040034530",55.2205621638003
"645","7040402430",20.0813745264567
"648","7040374950",26.7585424961346
"651","7040033480",19.9357411519464
"654","7040402320",20.2194242586501
"657","7040034520",35.8107299102003
"660","7040374800",17.9396772679687
"663","7040379430",45.2812542881616
"666","7040016260",31.2882933745645
"669","7040014940",22.8041437428371
"672","7040016270",10.4475292003594
"675","7040059990",25.7842526690391
"678","7040024580",30.5487784042371
"681","7040192560",34.0180724615288
"684","7040192420",17.831702354423
"687","7040021740",26.6984352773827
"690","8040009560",18.2325581395349
"693","8040252760",12.9447004608295
"696","7040282770",24.4576856649396
"699","7040282720",30.9012875536481
"702","8040307300",36.122866894198
"705","7040194860",20.6080808080808
"708","8040219290",10.5821812596006
"711","7040569650",35.2197276851838
"714","7040392520",38.5423164534782
"717","7040426320",14.9789497008642
"720","7040569640",41.5099841255095
