HYBAS_ID,TDq0,Obs_TDq0,TDq1,Obs_TDq1,TDq2,Obs_TDq2,FDq0,Obs_FDq0,FDq1,Obs_FDq1,FDq2,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff
1040029810,95.11048951,72,36.46665069,33.98135493,22.20541784,22.07647795,10.45935878,13.10377696,5.088920488,6.908945324,3.621873045,4.93623528,0.366,83,19,24463.094,451,16.20815767,11.80897956,11.10802047,444.354885,50.70933613,3620,110,11,31,275925.8,1418953.292,717,12.91240827,0.450983106,590.7385246
1040034260,13,13,9.143247373,9.000522247,7.183643582,7.658985021,2.707110883,3.287442147,2.538729862,2.863513917,2.44395164,2.707219119,1934.054,7,4,141502.406,595,26.00416817,15.8710684,28.450103,41.3546591,103.8448735,1731,30,0,2,797088.8,595150.1293,548,3.644312212,0.098182601,107.8926212
1040034270,14.43478261,10,7.60131129,6.853225448,6.113277031,5.885043263,2.458606175,2.700668397,2.109238182,2.33383357,2.030058102,2.204949768,0.004,3,35,991.011,256,20.52176435,11.84137353,14.11786966,59.37023331,81.54689362,598,17,0,53,20936.3,9808673.215,691,28.06946234,0.659876771,1003.042562
1040034610,14.3994543,14,6.147817206,6.087464933,5.013236788,5.36200513,2.374812864,4.554535922,2.169046386,2.615015904,2.090923467,2.443598576,0.2,63,4,357.62,662,17.72583735,7.320260069,15.08255131,304.3331818,78.96980871,3533,604,11,0,8752.8,4138821.225,855,19.18585265,0.380980064,28448.03948
1040034900,13,13,10.55185164,10.4602846,8.297521759,9.353287012,2.548175455,3.237608909,2.33631073,2.884668816,2.241786895,2.737281729,0.905,103,17,429.949,919,24.3748399,7.693295044,23.24151028,119.3813204,63.47601218,1399,180,2,13,3938.8,13633.52818,477,6.961583422,0.213354392,37828.78034
1040035590,14.59459459,12,11.62194537,9.418643186,8.898885573,8.005847953,3.272135148,3.404187295,2.625132426,2.928280968,2.33165094,2.655136591,432.578,284,5,16263.651,363,22.04450679,12.81549944,24.60027993,971.9284428,111.311643,2521,100,7,7,54938.2,27055.97139,512,7.420151685,0.205759893,182.0227092
1040036860,15.62146893,13,9.290438616,8.072376332,5.884824973,5.67862969,4.229928397,4.215442437,3.392810116,3.344584358,2.919841221,2.870423491,1619.824,971,14,33049.59,246,22.41113213,12.59372018,23.97029481,1475.409205,114.3648711,2497,105,6,6,56180.1,201940.881,512,8.785192976,0.224476313,480.5972221
1040036870,86.05172414,50,20.70685294,18.9927507,10.54906554,10.44428688,6.402634809,8.681503423,4.014792599,4.819933737,3.160590751,3.516472047,2.359,1069,16,92108.914,267,22.38632604,10.82494819,24.63891677,1708.89176,84.01426185,2774,134,38,8,258716,50734.1703,512,7.546266574,0.221836172,684.1478687
1040040050,20.86440678,13,11.60360999,9.772453332,9.014224634,8.229314421,3.122565144,3.400869844,2.569764469,2.896421876,2.288735386,2.605631098,18.78,1227,0,297.747,333,23.61450191,8.276995108,24.83322476,2006.917752,60.95045229,2320,989,67,4,2263,1623444.793,579,11.35872394,0.349828941,6186.478126
1040040200,17.92,14,13.23680607,10.96924732,10.15528914,9.191176471,2.26711752,3.131148407,2.224688347,2.809998114,2.179068782,2.616216092,150.88,15,11,6325.536,103,22.32039163,16.56136605,26.34620805,383.2432124,103.4216008,357,15,28,3,85787.3,13802.94345,645,3.218674978,0.116045311,139.8808448
