"","Assemblage","qFD","Assemblage.1","qFD.1","Assemblage.2","qFD.2"
"145","2040054200",15.9495503760516,"2040054200",6.64850910043537,"2040054200",4.93610293709432
"146","2040056770",10.6964648390162,"2040056770",5.51186703001732,"2040056770",4.32989568262933
"147","2040059370",8.78965314190745,"2040059370",6.62969629070198,"2040059370",5.79939291322471
"148","2040065840",3.9044205634978,"2040065840",3.01929917110236,"2040065840",2.65617347147707
"149","2040065960",3.97563326239082,"2040065960",3.37859099313822,"2040065960",3.07167490721542
"150","2040066030",4.82525820670716,"2040066030",3.27791354305076,"2040066030",2.85827620249474
"151","2040067740",5.98654037289468,"2040067740",4.87146170860537,"2040067740",4.16517979564043
"152","2040068680",7.90747392624533,"2040068680",6.36582761617744,"2040068680",5.55494753808697
"153","2040068720",6.82222470239642,"2040068720",5.05788413696378,"2040068720",4.26557309286204
"154","2040069150",9.92159493801647,"2040069150",6.61224954083429,"2040069150",5.07832042929157
"155","2040069160",4.95862598405317,"2040069160",3.60234302941237,"2040069160",3.17108020609454
"156","2040070050",10.035302166426,"2040070050",4.28114449358923,"2040070050",3.4429178083358
"157","2040070060",5.34105889925235,"2040070060",3.74304802692167,"2040070060",3.22900120723141
"158","2040070510",6.76470398210231,"2040070510",5.41250443437153,"2040070510",4.65930115692804
"159","2040070520",10.5305909094908,"2040070520",5.87097814271949,"2040070520",4.45527767323155
"160","2040071700",4.01491223214653,"2040071700",3.14415355968053,"2040071700",2.82315052922868
"161","2040072590",3.47463903353938,"2040072590",2.66243721054084,"2040072590",2.31262050200253
"162","2040072920",4.01292692635591,"2040072920",3.17319380920464,"2040072920",2.79648504745869
"163","2040072930",4.13993703993084,"2040072930",3.07141698818727,"2040072930",2.69754728797124
"164","2040073580",2.73700667044427,"2040073580",2.33064174366231,"2040073580",2.10007828051724
"165","2040075170",4.12410513679237,"2040075170",3.3514583310821,"2040075170",2.99929753091668
"166","2040077470",3.30687618846096,"2040077470",2.71981670612278,"2040077470",2.57111777613011
"167","2040077580",4.46727542619254,"2040077580",3.58767983775092,"2040077580",3.2922392413761
"168","2040079320",3.70855164756203,"2040079320",3.00162002466284,"2040079320",2.74643911370371
"169","2040081260",3.40581050782602,"2040081260",2.85170934688455,"2040081260",2.61224039120086
"170","2040084130",3.74419511491052,"2040084130",2.86204088124036,"2040084130",2.66288601050098
"171","2040085500",3.48520515838976,"2040085500",3.01669286273426,"2040085500",2.77548722424554
"172","2040085590",6.82789456913879,"2040085590",4.04630335490372,"2040085590",3.2141049885877
"173","2040085620",3.28617241444583,"2040085620",2.82404853312858,"2040085620",2.59827612376172
"174","2040085630",3.19612678632396,"2040085630",2.69646513036936,"2040085630",2.43364386618983
"175","2040085670",3.13127869273865,"2040085670",2.63560336162769,"2040085670",2.40675721440505
"176","2040085690",4.22178060259895,"2040085690",3.10461897526882,"2040085690",2.60812341735608
"177","2040085700",3.86505974542236,"2040085700",3.46675425677102,"2040085700",3.24137204590639
"178","2040085710",2.87414194134237,"2040085710",2.38984572096763,"2040085710",2.2275707497879
"179","2040085720",8.91027740712364,"2040085720",3.92546998356692,"2040085720",3.22007179097614
"180","2040085730",4.28437506325517,"2040085730",3.05638158261127,"2040085730",2.51395225385446
"181","2040085930",5.62530747001497,"2040085930",3.69791969823731,"2040085930",3.16206555139782
"182","2040085960",9.52854244904983,"2040085960",4.71360467513728,"2040085960",3.64613869661449
"183","2040085990",5.68066481520716,"2040085990",3.26158007058799,"2040085990",2.71127554508979
"184","2040288980",5.06393522852023,"2040288980",3.58501647246761,"2040288980",3.06860690659363
"185","2040289120",3.51280178393503,"2040289120",2.61751767796542,"2040289120",2.24042493365176
"186","2040292580",2.8615006161602,"2040292580",2.64482505913465,"2040292580",2.46732537484029
"187","2040292690",4.02339713488587,"2040292690",3.42320524290296,"2040292690",3.05131704977672
"188","2040309560",3.18141224049783,"2040309560",2.68461521648152,"2040309560",2.34529775594844
"189","2040309610",9.29777566468427,"2040309610",4.47124814131531,"2040309610",3.03526940323092
"190","2040315940",11.9318447451803,"2040315940",6.48675180687404,"2040315940",4.63712332891544
"191","2040363700",3.76416058185438,"2040363700",3.31234124821869,"2040363700",2.95930986413155
"192","2040400100",6.77375149666546,"2040400100",5.01137134345224,"2040400100",4.11154223961796
"193","2040416390",8.41112789866879,"2040416390",5.49090378495716,"2040416390",4.55934713770381
"194","2040491970",6.89942205568643,"2040491970",4.33195606241923,"2040491970",3.0644169895746
"195","2040539930",26.0030484963521,"2040539930",13.4029123817844,"2040539930",9.50557527000889
"196","2040540100",21.5356664180634,"2040540100",10.7331754089565,"2040540100",7.74387436159218
"197","2040543090",12.1712573912934,"2040543090",8.3074435083288,"2040543090",6.56975371731407
"198","2040543160",18.8075739850028,"2040543160",9.53561012879695,"2040543160",6.79149939305347
"199","2040548500",19.3224984852362,"2040548500",9.59031425703402,"2040548500",6.78555433504971
"200","2040555780",17.3220838432838,"2040555780",9.09028820405591,"2040555780",6.13407178678831
"201","2040785900",10.8145819801702,"2040785900",5.10415970257847,"2040785900",4.01229399802389
"202","2040816320",10.6726133873192,"2040816320",5.62206323511856,"2040816320",4.25151729333473
"203","2040816870",4.09640057064089,"2040816870",3.36228309272741,"2040816870",2.99669160274594
"204","2040828790",5.51523588419865,"2040828790",3.73939477906406,"2040828790",3.15200233493334
"205","3040024310",10.7510953151436,"3040024310",6.69663926411632,"3040024310",5.30719980907773
"206","3040386960",15.6394867587582,"3040386960",8.87067920512507,"3040386960",6.33959874356463
"207","3040481930",8.00845879806955,"3040481930",5.05036182163606,"3040481930",3.6735239480603
