"","all_ID"
"402",7040008720
"403",7040048300
"404",7040073690
"405",7040041400
"406",7040039870
"407",8040005520
"408",8040004910
"409",7040379310
"410",7040043090
"411",7040014040
"412",7040073870
"413",7040047970
"414",7040041410
"415",7040039620
"416",7040042040
"417",7040047980
"418",7040045890
"419",7040073780
"420",7040047850
"421",7040046750
"422",7040043160
"423",7040073630
"424",8040008380
"425",7040585120
"426",8040005510
"427",7040064730
"428",7040388740
"429",7040047070
"430",7040394690
"431",7040046600
"432",7040608130
"433",7040073830
"434",7040395190
"435",7040014210
"436",7040045900
"437",7040073710
"438",7040014050
"439",7040607990
"440",7040388580
"441",7040047060
"442",7040632150
"443",7040043100
"444",7040048310
"445",4040773260
"446",2040031500
"447",2040033320
"448",2040031490
"449",2040033330
"450",2040024230
"451",2040056770
"452",4040783120
"453",4040023060
"454",4040023810
"455",2040048790
"456",6040000750
"457",7040050930
"458",2040054200
"459",4040039450
"460",7040007840
"461",2040039400
"462",4040005050
"463",4040012290
"464",6040016980
"465",6040102330
"466",6040000010
"467",2040003550
"468",6040102250
"469",7040006390
"470",2040315940
"471",2040026070
"472",2040007930
"473",2040026920
"474",2040059370
"475",2040027330
"476",2040027320
"477",2040024180
"478",2040491970
"479",6040034810
"480",5040000010
"481",5040007690
"482",5040005150
"483",1040036870
"484",1040036020
"485",1040035400
"486",1040036860
"487",1040035590
"488",2040416390
"489",5040084940
"490",6040075390
"491",7040050920
"492",2040007940
"493",4040037060
"494",4040003020
"495",4040005060
"496",4040045780
"497",2040041840
"498",4040298550
"499",2040288980
"500",3040386960
"501",8040008240
"502",8040008230
"503",6040134450
"504",7040057510
"505",4040027100
"506",3040024350
"507",2040309610
"508",7040054660
"509",4040975160
"510",4040017030
"511",2040363700
"512",2040400100
"513",4040018350
"514",2040043720
"515",2040030090
"516",2040030070
"517",5040022500
"518",5040015830
"519",1040035180
"520",1040036030
"521",2040057170
"522",2040026930
"523",2040018470
"524",8040004490
"525",7040000010
"526",4040046370
"527",2040069150
"528",4040012770
"529",4040027950
"530",2040501940
"531",4040029530
"532",5040014020
"533",4040839030
"534",7040024600
"535",4040048900
"536",4040028760
"537",7040024300
"538",2040006600
"539",7040013170
"540",7040065760
"541",4040025460
"542",4040960200
"543",7040047860
"544",5040011800
"545",5040031240
"546",4040027940
"547",4041128330
"548",4040960480
"549",6040009770
"550",4040027790
"551",4041144880
"552",2040309560
"553",5040017830
"554",7040024830
"555",5040004800
"556",2040048590
"557",7040050000
"558",4040033430
"559",4040169400
"560",4041108580
"561",4040865930
"562",6040016770
"563",4040028770
"564",2040315950
"565",5040038940
"566",4041043590
"567",4040006570
"568",2040075170
"569",2040289120
"570",7040019010
"571",5040046920
"572",7040054670
"573",3040481930
"574",7040008710
"575",2040292580
"576",4040000890
"577",2040005130
"578",6040870380
"579",4040047500
"580",4040027780
"581",5040037270
"582",7040025090
"583",4040048470
"584",2040439100
"585",3040387130
"586",7040005410
"587",2040068720
"588",4041108500
"589",2040070050
"590",4041144860
"591",4040027110
"592",6040870370
"593",6040029280
"594",2040069160
"595",5040054880
"596",2040085590
"597",4040031820
"598",2040028220
"599",2040041430
"600",2040085990
"601",2040018370
"602",2040018240
"603",2040077580
"604",5040006900
"605",6040017540
"606",2040416550
"607",7040024900
"608",4040013000
"609",1040041020
"610",4040015000
"611",7040070790
"612",4040234270
"613",2040816870
"614",4040024190
"615",4040011690
"616",4040865800
"617",6040877660
"618",6040016970
