,HYBAS_ID,Site_num,Sam_eff
629,7040388740,4001,20874.45225
630,7040392520,5810,27145.91748
631,7040392650,12991,70496.09914
632,7040394680,7286,251683.1266
633,7040394690,3836,339616.2938
634,7040395190,4922,120511.1317
635,7040395340,2292,82658.93452
636,7040402320,10179,69054.27059
637,7040402430,79420,301048.6287
638,7040426310,1184,22814.50879
639,7040426320,7818,114101.5705
640,7040569640,35506,25701.5705
641,7040569650,55860,125147.8093
642,7040585110,1321,11426.95013
643,7040585120,2364,34797.40521
644,7040607990,188,7835.716697
645,7040608130,1324,20455.90085
646,7040612640,86086,163025.5185
647,7040612840,1824,42608.36049
648,7040632150,39,2717.088396
649,7040632220,618,8866.113085
650,7040686450,631101,1521503.284
651,7040686540,5252,41824.11098
652,7040707710,3896,33277.27331
653,7040707810,15871,101805.3107
654,7040741760,16581,69225.48948
655,7040741770,1094,19338.76964
656,8040000810,99,1506.74382
657,8040000820,694,13143.14284
658,8040002260,231,4588.240201
659,8040002270,233,1911.634883
662,8040007180,42,1290.921441
663,8040007190,164,2250.589407
667,8040008390,358,7387.810525
671,8040141480,142,1533.951091
672,8040176060,26,334.9587421
673,8040176200,776,6770.971032
675,8040183760,64,792.8141309
677,8040219290,590,3000.051357
678,8040252610,137,833.7339719
679,8040252760,604,2190.907083
