HYBAS_ID,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HMG,HFP
4040037060,0.016,16,2,278.465,667,5.238028029,7.566769409,13.94293861,1167.810867,34.00885169,2152,134,0,0,85506.2,1129549.962,482,0.368925281,13.01008197
4040039450,0.045,33,4,1.451,274,12.05713034,8.180516988,20.29253189,1761.045354,43.37289515,3684,11,0,2,295817.7,10086574.11,482,0.483548445,20.76166114
4040045780,0,13,2,1859.14,657,11.27345236,6.54817459,21.11126983,1280.342857,27.81772566,810,115,0,4,88,113486.632,482,0.489279408,22.92857143
4040045890,0.061,15,1,347.547,734,20.5289216,4.609358276,23.47183603,2082.042781,31.02080482,742,246,0,0,276,77919.47177,482,0.270883602,20.88139952
4040046100,2.748,10,0,254.373,762,22.12655701,4.608963161,23.96016491,2283.455368,27.4234224,719,197,0,1,4339.1,9159357.8,482,0.436408132,21.80652281
4040046370,0.079,55,6,6162.629,681,19.12641418,6.016988628,23.1129168,2539.355755,71.37728923,3688,158,4,10,36790.4,12005569.86,482,0.418787824,19.4453218
4040047490,3.982,25,4,393.56,718,25.41250038,3.825000286,28.73333359,1822,99.28273773,0,240,7,12,4,0,482,0.006532423,13.82045627
4040047500,0.006,30,4,7228.58,536,24.01056286,7.007134998,26.71660612,1570.818741,74.91428263,1715,112,1,3,34604.3,2933011.538,824,0.449053194,9.459808159
4040048470,0,18,1,4887.729,507,26.68123232,6.199893905,26.57988873,2761.71159,68.46827423,644,82,0,0,8463.1,125963.2737,847,0.254434722,13.460298
4040048900,0.001,6,3,903.315,646,26.66256278,7.526804728,25.74456709,1882.868544,68.66181879,2400,160,0,0,66904,2509765.336,779,0.379628166,0.653628072
4040050210,226.73,23,4,53269.766,268,8.928332598,15.81873792,23.09379139,28.30001027,81.71027323,3957,70,0,8,909036.8,41.81059379,669,0.013597914,1.823144215
4040449990,61.051,20,1,21230.088,314,5.564931167,15.17807491,18.82928968,91.74584798,100.7002535,5797,37,0,0,767613.7,19924.83861,847,0.064427247,4.250598702
4040449660,0,13,1,12364.504,249,5.460928031,13.9533338,18.91940059,137.0225657,90.93553705,3791,21,0,0,90827.4,126959.8763,666,0.114385401,1.454399582
4040416430,516.414,61,6,44462.203,519,8.231498731,16.65850912,21.38918099,45.02843981,98.71568545,5880,130,0,10,213833.2,2757.179931,480,0.039754582,5.938678329
4040416190,0,9,0,11865.685,250,10.30656279,15.61931635,23.86839727,95.98664398,85.1196759,5963,25,0,0,386911.3,38673.561,811,0.185800409,5.045910226
4040438030,0,45,2,11146.874,430,4.712667735,14.20321389,16.61272134,139.9865922,76.76874207,5795,83,0,0,277748.4,109528.0923,577,0.132467244,3.527707316
4040438130,0,6,9,3004.51,214,0.658911911,14.39059551,12.21436224,46.8793462,101.944339,5835,17,0,0,103678.9,69396.47168,768,0.075031094,4.428283801
4040462930,74.256,42,17,9663.109,380,4.384249663,14.02999066,16.19457229,52.58955684,72.59465031,7168,105,0,4,113685.3,44636.09823,774,0.119907427,5.989138889
4040462690,257.37,30,1,8343.037,291,4.724648971,13.71677712,15.26200633,123.2945263,61.9398274,6302,29,0,5,76777,175359.7233,847,0.195002513,6.035491787
4040050220,192.178,91,6,16863.563,428,10.92584371,11.96048681,10.1486,118.5259422,46.38794713,387,140,0,10,622506.9,28718.27905,774,0.179475786,7.900551826
4040273960,48.086,38,3,14060.522,462,9.485315245,8.896963501,7.675040006,127.8230206,38.55298766,227,118,0,1,45425,15099.79547,774,0.19600462,8.20178135
4040274280,194.572,59,3,9317.205,474,14.16534056,13.02327663,9.840082985,135.4293953,67.43199615,741,117,0,4,463252.7,43197.44791,774,0.237666686,4.047881348
4040274300,31.49,51,6,11611.166,493,10.66491783,11.5207453,10.82824476,119.5985787,46.21352993,182,127,0,12,53924.2,3906.619703,540,0.112710893,32.1146003
4040482720,5.055,6,0,5568.433,173,15.28771209,13.62602299,7.508982044,133.757485,79.57361429,9,13,0,0,405848.4,3896312.619,847,0.671044144,11.27304303
4040484700,0,19,2,5067.271,352,11.92496639,12.40464699,4.850438494,327.8409605,72.71265269,4960,36,0,2,69512.4,436561.2691,847,0.379880869,10.73596385
4040484760,0,11,5,3536.151,198,11.92010833,12.97340175,4.54295076,347.5564061,89.29134951,5315,27,0,0,337555.5,192999.304,773,0.29643604,6.36845165
4040545690,232.047,122,19,10603.876,452,1.1141597,11.5987574,-0.364780767,457.4183522,60.02403659,6842,167,0,24,121256,18056.57833,774,0.143571971,7.588478074
4040545530,80.955,38,4,7889.721,482,2.672535669,11.49317122,1.459969887,593.4265603,54.76859461,6851,153,0,4,38706.7,33789.84606,774,0.200297362,6.66151603
4040050230,0,16,6,4272.445,229,6.747470243,11.40470531,2.066273122,157.6844746,25.0982154,23,27,0,0,404800.5,446.1666426,813,0.076962842,5.924954507
4040223260,80.348,24,6,7470.7,356,6.389613069,9.775594957,-5.894958572,143.2897938,25.66280456,7,71,0,7,216797.8,176.3073887,767,0.0847794,5.993281545
4040223160,78.553,62,7,10942.27,424,4.981593219,12.83669707,13.28574646,275.0708426,29.00916418,4017,108,0,5,195514.2,17208.941,774,0.126494434,4.416027399
4040225090,41.487,25,13,6493.53,407,4.260060847,12.47173248,18.74130233,195.0243902,28.28294925,808,107,0,1,18973,1136.130045,774,0.05399102,4.204154053
4040225300,49.197,45,2,4565.986,430,6.075558464,11.29876738,12.58701199,147.3693485,25.99099201,247,80,1,5,196700.5,1066.290267,488,0.066744939,5.871899962
4040234270,0,14,1,2557.192,525,7.427342209,12.59827735,12.1587633,216.6190016,30.44256766,862,83,0,2,52472.7,2483.191589,482,0.105341186,7.117160848
4040234430,20.769,36,13,2788.937,378,8.165423371,12.7351715,11.66974356,223.5451656,29.39980139,677,98,0,6,141350.3,4586.262742,774,0.127549884,8.32242805
4040298550,0,16,3,1445.566,454,3.400264946,12.50619095,12.87309628,366.8260135,51.42212459,5237,82,0,1,115833.2,1050448.784,573,0.242894914,8.176513355
